dimension,type,label,unit,name
aggregate,balance.of.payments,nimp,10B.EUR,Nominal Total Imports
aggregate,balance.of.payments,tot_imp,10B.EUR,Real Total Imports
aggregate,balance.of.payments,M_TOT_int,10B.EUR,Intermediate Imports
aggregate,balance.of.payments,X_TOT_int,10B.EUR,Intermediate Exports (*)
aggregate,balance.of.payments,rex,10B.EUR,Real Final Exports
aggregate,balance.of.payments,nex,10B.EUR,Nominal Total Exports
aggregate,balance.of.payments,tb,10B.EUR,Trade Balance
aggregate,balance.of.payments,cab,10B.EUR,Current Account Balance
aggregate,balance.of.payments,kabp,10B.EUR,"Financial Account Balance, Net of Official Transactions"
aggregate,balance.of.payments,nafa,10B.EUR,Net Accumulation of Financial Assets (NAFA)
aggregate,balance.of.payments,dxre,,Expected Rate of Growth of the Exchange Rate
industry,households,yd,10B.EUR,Disposable Income
industry,households,ydw,10B.EUR,Worker Disposable Income
industry,households,ydc,10B.EUR,Capitalist Disposable Income
industry,production,x,10B.EUR,Real Output
industry,production,x_star,10B.EUR,Potential Output
industry,production,d,10B.EUR,Final Demand in Real Terms
industry,production,va_j,10B.EUR,Value Added
industry,govt.central.bank,t_j,10B.EUR,Tax Payments
industry,govt.central.bank,int_j,10B.EUR,Interest Payments
industry,labor.market,pop_j,10M p.,Labor Force
industry,labor.market,n_j,10M p.,Employment
industry,labor.market,nf_j,10M p.,Female Employment
industry,labor.market,wb_j,10B.EUR,Wage Bill
industry,prices,p_t,EUR,Reproduction Prices (including Capital Depreciation)
industry,prices,p,EUR,Market Prices
industry,ecological,wa_j,10Mt,Waste
industry,ecological,emis_j,10t CO2 eq.,Annual CO2 Emissions
